species,point,x,y,z
m_murinus,tm_joint,8.44379,9.41858,0
m_murinus,bpInc,29.0783,7.23456,0
m_fascicularis,tm_joint,40.16,46.66,0
m_fascicularis,bpInc,90.3,40.14,0
